English,Français
Artificial intelligence resource directory,Catalogue de ressources pédagogiques sur l'intelligence artificielle
Home,Accueil
Search resources,Recherche de ressources
Contribute,Contribuer
Resources,Ressources
Language,Langue
Resource type,Type de ressource
Age, Age
Category, Catégorie
Advanced filters, Filtres avancés
Resource type(s),Type(s) de ressource
Language(s),Langue(s)
Age(s), Age(s)
Connectivity, Connectivité
Categorie(s),Catégorie(s)
Data type(s),Type(s) de données
Other keyword(s),Autre(s) mot(s)-clef(s)